Author,Feature,Model,Accuracy,Precision,Recall,F1
CCandar,TFIDF_Word_2gram,DecisionTree,0.2125,0.2,0.125,0.15384615384615385
CCandar,TFIDF_Word_2gram,MLP,0.5708333333333333,0.75,0.375,0.5
CCandar,TFIDF_Word_2gram,NaiveBayes,0.5708333333333333,0.75,0.375,0.5
CCandar,TFIDF_Word_2gram,RandomForest,0.45,0.8571428571428571,0.75,0.8
CCandar,TFIDF_Word_2gram,SVM,0.5333333333333333,1.0,0.375,0.5454545454545454
CCandar,TFIDF_Word_2gram,XGBoost,0.425,0.8333333333333334,0.625,0.7142857142857143
CCandar,TFIDF_Word_3gram,DecisionTree,0.16666666666666666,0.0,0.0,0.0
CCandar,TFIDF_Word_3gram,MLP,0.275,0.5,0.25,0.3333333333333333
CCandar,TFIDF_Word_3gram,NaiveBayes,0.30833333333333335,0.2857142857142857,0.25,0.26666666666666666
CCandar,TFIDF_Word_3gram,RandomForest,0.2625,0.5,0.25,0.3333333333333333
CCandar,TFIDF_Word_3gram,SVM,0.3125,0.4,0.25,0.3076923076923077
CCandar,TFIDF_Word_3gram,XGBoost,0.19166666666666668,0.3333333333333333,0.125,0.18181818181818182
COzdemir,BERT,DecisionTree,0.25416666666666665,0.42857142857142855,0.375,0.4
COzdemir,BERT,MLP,0.6041666666666666,0.5,0.5,0.5
COzdemir,BERT,RandomForest,0.5083333333333333,0.5714285714285714,0.5,0.5333333333333333
COzdemir,BERT,SVM,0.4125,0.6666666666666666,0.5,0.5714285714285714
COzdemir,BERT,XGBoost,0.4791666666666667,0.8,0.5,0.6153846153846154
COzdemir,TFIDF_Char_2gram,DecisionTree,0.6666666666666666,0.6,0.75,0.6666666666666666
COzdemir,TFIDF_Char_2gram,MLP,0.9083333333333333,0.7272727272727273,1.0,0.8421052631578947
COzdemir,TFIDF_Char_2gram,NaiveBayes,0.6708333333333333,1.0,0.75,0.8571428571428571
COzdemir,TFIDF_Char_2gram,RandomForest,0.8666666666666667,0.7272727272727273,1.0,0.8421052631578947
COzdemir,TFIDF_Char_2gram,SVM,0.9,1.0,1.0,1.0
COzdemir,TFIDF_Char_2gram,XGBoost,0.8708333333333333,0.8,1.0,0.8888888888888888
COzdemir,TFIDF_Char_3gram,DecisionTree,0.5,0.36363636363636365,0.5,0.42105263157894735
COzdemir,TFIDF_Char_3gram,MLP,0.9083333333333333,0.8888888888888888,1.0,0.9411764705882353
COzdemir,TFIDF_Char_3gram,NaiveBayes,0.6291666666666667,0.7777777777777778,0.875,0.8235294117647058
COzdemir,TFIDF_Char_3gram,RandomForest,0.8958333333333334,0.8888888888888888,1.0,0.9411764705882353
COzdemir,TFIDF_Char_3gram,SVM,0.8958333333333334,0.8888888888888888,1.0,0.9411764705882353
